REFERENCE,LINK,TAG,ADDRESS,ZONE,CITY,DESCRIPTION,CONDOMINIUM,ADMINISTRATION,STRATA,AGE,REMODELED,AREA,ROOMS,BATHROOMS,GARAGES,ELEVATORS,TYPE OF PROPERTY,STORAGE,PORTER'S LODGE,LAUNDRY AREA,GAS,PARKING LOT,FULL PRICE,FINAL PRICE,CREATION,OBSERVATIONS,PRICE 1,UPDATE 1,PRICE 2,UPDATE 2,PRICE 3,UPDATE 3,PRICE 4,UPDATE 4,PRICE 5,UPDATE 5,PRICE 6,UPDATE 6,PRICE 7,UPDATE 7
3529797947,https://habi.co/venta-apartamentos/3529797947/conjunto-residencial-puerto-nuevo-ph---apartamento-venta-santa-ana-bello,,Carrera 57 # 38 - 290,Hospital mental,Bello,"Apartamento en venta de 83.82 m2, con vista exterior, ubicado en un 96avo piso (Torre 4 Apto 9619), acceso por ascensor, parqueadero propio cubierto (96084) y deposito (95030). Consta de 2 habitaciones, 2 baños, sala comedor, cocina integral, balcón y zona de lavandería. Tiene piso cerámico en habitaciones, zona social, baños y cocina. El conjunto cuenta con salón social, zona para niños, salón de juegos, gimnasio, piscina, cancha múltiple y vigilancia privada las 24 horas. Cerca a centros comerciales Bello Centro y Plaza Fabricato; cerca a almacenes de cadena como D1 y Justo & Bueno; cerca a colegio La Salle de Bello; cerca a universidades San Buenaventura; cerca a estación de Metro Madera, Bello y Niquía; Vías de acceso por la Calle 58 y Carrera 57.",Conjunto Residencial Puerto Nuevo P.H.,$237.900,4,2 años,Si,84 m2,2,2,1,2,Apartamento,1,24 hrs,Comunal,Si,Si,$328.000.000,$328.000.000,15/8/2022,,,,,,,,,,,,,,,
2454394011,https://habi.co/venta-apartamentos/2454394011/alameda-del-porvenir-etapa-1-apartamento-venta-corzo-bosa,Externo,Calle 55Sur # 104 - 48,El porvenir,Bogotá,"Apartamento en venta de 46m2, con vista interior, ubicado en un 3 piso (Torre 19 Apto 301), acceso por escaleras. Consta de 2 habitaciones, 1 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en sala comedor, habitaciones y cerámico en baños y cocina. El conjunto cuenta con zona de parqueadero y vigilancia privada las 24 horas. Cerca a almacenes de cadena como Metro Bosa, Justo & Bueno; cerca a IED colegio Ciudadela Educativa Bosa, colegio Villas del Progreso Sede C; cerca a paraderos del SITP.",Alameda del porvenir etapa 1,$50.000,2,9 años,Si,55 m2,2,1,No Tiene,No Tiene,Apartamento,No Tiene,24 hrs,No Tiene,,No,$120.000.000,$120.000.000,13/8/2022,,,,,,,,,,,,,,,
2845532389,https://habi.co/venta-apartamentos/2845532389/condominios-tierra-buena-1-apartamento-venta-pantanos-kennedy,Muy pronto,Carrera 97F # 34A - 30 SUR,Calandaima,Bogotá,"Apartamento en venta de 35m2, con vista exterior, ubicado en un 3er piso (Torre 10 Apto 302), acceso por escalera. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baño y cocina. El apartamento cuenta con zonas verdes, zona para niños, salón social, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Parque Central Primavera; cerca a almacenes de cadena como D1, Ara y Justo y Bueno; cerca a colegio Codema, Colegio Cafam Bella Vista; Vías de acceso por la calle 34Bis Sur y Carrera 97F.",Condominios I Tierra buena,$58.600,2,14 años,Si,35 m2,2,1,No Tiene,No Tiene,Apartamento,No Tiene,24 hrs,No Tiene,Si,Si,$113.000.000,$113.000.000,13/8/2022,,,,,,,,,,,,,,,
2889399817,https://habi.co/venta-apartamentos/2889399817/oasis-apartamento-venta-ensueno-ciudad-bolivar,,Calle 60Sur #70-90,Arborizadora,Bogotá,"Apartamento en venta de 45 m2, con vista exterior, ubicado en un 6to piso (Torre 5 Apto 623), acceso por escaleras. Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zona BBQ , Parque para niños, salón comunal y vigilancia privada las 24 horas. Cerca a centro comercial Gran Plaza el Ensueño; cerca a almacenes de cadena como easy; cerca a colegio Teatro y Colegio el Ensueño; cerca a universidad Distrital; cerca a estación de paradas alimentadoras y paraderos del SITP ; Vías de acceso por transversal 70D y carrera 67.",El Oasis,$137.700,3,7 años,Si,45 m2,3,1,No Tiene,1,Apartamento,No Tiene,24 hrs,No Tiene,Si,,$170.000.000,$170.000.000,13/8/2022,,,,,,,,,,,,,,,
2956503231,https://habi.co/venta-apartamentos/2956503231/senderos-del-porvenir-4-sector-1-apartamento-venta-porvenir-bosa,Muy pronto,Carrera 100 # 50B-45sur,El porvenir,Bogotá,"Apartamento en venta de 45m2, con vista interior, ubicado en un 3er piso (Torre 10 Apto 302), acceso por escaleras. Consta de 2 habitaciones, 1 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baño y cocina. El conjunto cuenta con zonas verdes, zona infantil, salón comunal y vigilancia privada las 24 horas. Cerca a centro comercial Micentro el Porvenir, Trebolis El Porvenir; cerca a almacenes de cadena como como Surtimax, D1; cerca a colegio Ciudadela Educativa de Bosa; cerca a universidad Distrital Francisco José de Caldas; cerca a paraderos del Sitp; Vías de acceso por la Calle 54c Sur y Carrera 98.",Senderos del Porvenir 4,$56.600,2,13 años,Si,45 m2,2,1,No Tiene,No Tiene,Apartamento,No Tiene,24 hrs,No Tiene,Si,Si,$112.000.000,$112.000.000,15/8/2022,,,,,,,,,,,,,,,
2965768252,https://habi.co/venta-apartamentos/2965768252/san-bernandino-1-apartamento-venta-villas-del-progreso-bosa,,Calle 72b sur # 89a-01,Bosa occidental,Bogotá,"Apartamento en venta de 47m2, con vista exterior, ubicado en un 1er piso (Torre 4 Apto 107), acceso por escaleras. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con salón social, plazoleta central, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial MetroRecreo; cerca a almacenes de cadena como Olímpica, Surtimax, Tiendas D1 y Ara; cerca a Colegio Jorge Isaacs y Colegio Leonardo Posada Pedraza; cerca a rutas alimentadoras y paraderos del Sitp; Vías de acceso por la Calle 73a Sur y la Carrera 88j. *VALOR DE ADMINISTRACION POR CONFIRMAR*","San Bernandino 1 Apartamento en Venta en Villas Del Progreso, Bosa",$0,2,14 años,Si,56 m2,2,1,No Tiene,No Tiene,Apartamento,No Tiene,24 hrs,No Tiene,Si,Si,$132.000.000,$132.000.000,13/8/2022,,,,,,,,,,,,,,,
3009119976,https://habi.co/venta-apartamentos/3009119976/tintala-1-fase-1-apartamento-venta-tintala-kennedy,Muy pronto,Calle 6A # 87A - 83,Calandaima,Bogotá,"Apartamento en venta de 42 m2, con vista interior, ubicado en un 4to piso (Torre 27 Apto 405), acceso por escalera, parqueadero comunal. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zonas verdes, cancha múltiple, parque infantil, salón comunal, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Tintal Plaza; cerca a almacén de cadena Éxito; cerca a colegio Gimnasio Moderno San Francisco; cerca rutas de SITP y alimentadores; Vías de acceso por la avenida carrera 88 y calle 6",Tintalá 1 fase 1,$58.000,2,25 años,Si,42 m2,2,1,No Tiene,No Tiene,Apartamento,No Tiene,24 hrs,No Tiene,Si,No,$134.500.000,$134.500.000,13/8/2022,,,,,,,,,,,,,,,
3020443886,https://habi.co/venta-apartamentos/3020443886/altavista---venta-apartamento-ciudad-techo-2-castilla,Externo,Carrera 80g #6-19,Castilla,Bogotá,"Apartamento de 44 m² con vista interior, ubicado en un 16avo piso (Apto 1601 Torre 5) acceso por ascensor. Consta de 2 habitaciones, 1 baño, sala comedor y cocina integral. Tiene el piso laminado en sala comedor y habitaciones, y piso en cerámica en baño y cocina. Las áreas comunes del conjunto son zonas verdes, zona BBQ, cancha de microfútbol, zona para niños, salón comunal y vigilancia privada las 24 horas. Cerca a Centro comercial Tintal Plaza; Almacenes de cadena como D1, Ara y Corabastos, vías de acceso por Av. Las Américas y Calle 6b; estaciones de Banderas y Transversal 86.",Altavista,$88.000,3,9 años,,44 m2,2,1,No Tiene,2,Apartamento,No Tiene,24 hrs,No Tiene,Si,Si,$165.000.000,$165.000.000,14/8/2022,,,,,,,,,,,,,,,
3074766428,https://habi.co/venta-apartamentos/3074766428/ciudad-tintal-2-etapa-2---casa-venta-campo-alegre-kennedy,,Calle 6A # 94A-25,Tintal norte,Bogotá,"Casa en venta de 60m2, con vista exterior, (Casa 245). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y cerámico en zona social, cocina y baños. El conjunto cuenta con salón comunal, parqueadero comunal, parque infantil, zonas verdes y vigilancia privada las 24 horas. Cerca a centros comercial Ciudad Tintal; cerca a almacenes de cadena como Alkosto, Éxito y Metro; cerca a colegios como Gabriel Betancourt Mejía y Gimnasio Moderno San Francisco; cerca a universidad Uniagustiniana y Pública de Kennedy; cerca a estación de Transmilenio Patio Bonito; Vías de acceso por la Calle 6A y Carrera 94A.",Ciudad Tintal 2 Etapa 2,$50.000,2,12 años,Si,60 m2,3,2,No Tiene,No Tiene,Casa,No Tiene,24 hrs,Comunal,Si,No,$160.000.000,$160.000.000,13/8/2022,,,,,,,,,,,,,,,
3168354157,https://habi.co/venta-apartamentos/3168354157/roma-reservado-2-apartamento-venta-vegas-santa-ana-bosa,,Calle 57C sur #81D-01,Bosa central,Bogotá,"Apartamento en venta de 45m2, con vista interior, ubicado en un 1er piso (Torre 10 Apto 103), acceso por escaleras. Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zonas verdes, zona infantil, cancha múltiple, salón social, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Bosa Centro; cerca a almacenes de cadena como tiendas Ara, D1, Éxito; cerca a colegios Débora Arango Pérez, Distrital Manuel Cepeda Vargas; cerca a estación de Transmilenio Portal Américas; Vías de acceso por la Calle 57C sur y Carrera 81. *VALOR DE ADMINISTRACIÓN POR CONFIRMAR*",Roma Reservado 2,$0,2,4 años,Si,45 m2,3,1,No Tiene,1,Apartamento,No Tiene,24 hrs,No Tiene,Si,Si,$141.500.000,$141.500.000,13/8/2022,,,,,,,,,,,,,,,
